timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], power.limit [W], temperature.gpu, clocks.current.sm [MHz]
2026/09/19 22:18:39.253, 0, 49 %, 18 %, 717 MiB, 49140 MiB, 154.58 W, 300.00 W, 48, 2715 MHz
2026/09/19 22:18:40.253, 0, 54 %, 19 %, 717 MiB, 49140 MiB, 157.89 W, 300.00 W, 49, 2715 MHz
2026/09/19 22:18:41.254, 0, 53 %, 18 %, 717 MiB, 49140 MiB, 138.76 W, 300.00 W, 46, 2715 MHz
2026/09/19 22:18:42.254, 0, 48 %, 9 %, 717 MiB, 49140 MiB, 109.65 W, 300.00 W, 46, 2715 MHz
2026/09/19 22:18:43.255, 0, 0 %, 0 %, 715 MiB, 49140 MiB, 71.71 W, 300.00 W, 45, 2715 MHz
2026/09/19 22:18:44.255, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 60.73 W, 300.00 W, 44, 2505 MHz
2026/09/19 22:18:45.259, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 51.51 W, 300.00 W, 44, 2505 MHz
2026/09/19 22:18:46.259, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 48.52 W, 300.00 W, 44, 615 MHz
2026/09/19 22:18:47.260, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 37.90 W, 300.00 W, 43, 390 MHz
2026/09/19 22:18:48.261, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 21.43 W, 300.00 W, 43, 225 MHz
2026/09/19 22:18:49.261, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 17.61 W, 300.00 W, 43, 210 MHz
2026/09/19 22:18:50.262, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 20.41 W, 300.00 W, 43, 210 MHz
2026/09/19 22:18:51.262, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 20.92 W, 300.00 W, 42, 210 MHz
2026/09/19 22:18:52.263, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 20.78 W, 300.00 W, 42, 210 MHz
2026/09/19 22:18:53.264, 0, 0 %, 0 %, 739 MiB, 49140 MiB, 24.96 W, 300.00 W, 43, 2505 MHz
2026/09/19 22:18:54.264, 0, 1 %, 0 %, 1413 MiB, 49140 MiB, 55.76 W, 300.00 W, 43, 2505 MHz
